MRAC	Marquee Raine Acquisition	Shell Companies	464.38M
MRAM	Everspin Technologies	Semiconductors & Semiconductor Equipment	129.92M
MRBK	Meridian	Banks	172.66M
MRC	MRC Global	Trading Companies & Distributors	644.79M
MRCC	Monroe Capital	Capital Markets	234.61M
MRCY	Mercury Systems	Aerospace & Defense	2.66B
MREO	Mereo BioPharma Group	Biotechnology	288.59M
MRIN	Marin Software	Software	89.71M
MRK	Merck	Pharmaceuticals	185.93B
MRKR	Marker Therapeutics	Biotechnology	157.02M
MRLN	Marlin Business Services	Diversified Financial Services	266.99M
MRM	Medirom Healthcare	Personal Services	36.22M
MRNA	Moderna	Biotechnology	181.39B
MRNS	Marinus Pharmaceuticals	Pharmaceuticals	444.52M
MRO	Marathon Oil	Oil, Gas & Consumable Fuels	8.89B
MRSN	Mersana Therapeutics	Biotechnology	614.28M
MRTN	Marten Transport	Road & Rail	1.30B
MRTX	Mirati Therapeutics	Biotechnology	8.55B
MRUS	Merus N.V.	Biotechnology	1.04B
MRVI	Maravai LifeSciences	Biotechnology	12.13B
MRVL	Marvell Technology	Semiconductors & Semiconductor Equipment	50.38B
MS	Morgan Stanley	Capital Markets	189.06B
MSA	MSA Safety	Commercial Services & Supplies	6.10B
MSAC	Medicus Sciences Acquisition	Shell Companies	111.97M
MSB	Mesabi Trust	Metals & Mining	424.43M
MSBI	Midland States Bancorp	Banks	550.69M
MSC	Studio City International	Hotels, Restaurants & Leisure	1.11B
MSCI	MSCI Inc.	Capital Markets	53.66B
MSDA	MSD Acquisition	Shell Companies	612.50M
MSEX	Middlesex Water	Water Utilities	1.95B
MSFT	Microsoft	Software	2,222.23B
MSGE	Madison Square Garden Entertainment	Entertainment	2.69B
MSGM	Motorsport Games	Electronic Gaming & Multimedia	257.55M
MSGS	Madison Square Garden Sports	Entertainment	4.22B
MSI	Motorola Solutions	Communications Equipment	41.09B
MSM	MSC Industrial Direct	Trading Companies & Distributors	4.46B
MSN	Emerson Radio	Household Durables	24.82M
MSON	Misonix	Health Care Equipment & Supplies	446.22M
MSP	Datto	Software	3.94B
MSTR	MicroStrategy	Software	6.00B
MSVB	Mid-Southern Bancorp	Thrifts & Mortgage Finance	46.11M
MT	ArcelorMittal	Metals & Mining	32.95B
MTA	Metalla Royalty & Streaming	Metals & Mining	299.07M
MTAC	MedTech Acquisition	Shell Companies	309.37M
MTB	M&T Bank	Banks	17.47B
MTBC	MTBC, Inc.	Health Care Technology	128.02M
MTC	MMTec, Inc.	Software	33.91M
MTCH	Match Group	Interactive Media & Services	45.50B
MTCR	Metacrine	Biotechnology	81.17M
MTD	Mettler-Toledo	Life Sciences Tools & Services	36.85B
MTDR	Matador Resources	Oil, Gas & Consumable Fuels	3.35B
MTEM	Molecular Templates	Biotechnology	343.59M
MTEX	Mannatech	Personal Products	55.80M
MTG	MGIC Investment	Thrifts & Mortgage Finance	5.11B
MTH	Meritage Homes	Household Durables	3.95B
MTL	Mechel PAO	Metals & Mining	1.36B
MTLS	Materialise	Software	1.36B
MTN	Vail Resorts	Hotels, Restaurants & Leisure	12.09B
MTNB	Matinas BioPharma	Biotechnology	177.38M
MTOR	Meritor	Machinery	1.53B
MTP	Midatech Pharma	Biotechnology	35.45M
MTR	Mesa Royalty Trust	Oil, Gas & Consumable Fuels	11.80M
MTRN	Materion	Metals & Mining	1.45B
MTRX	Matrix Service	Energy Equipment & Services	280.89M
MTSI	MACOM Technology Solutions	Semiconductors & Semiconductor Equipment	4.41B
MTTR	Matterport	Software-Application	4.57B
MTW	Manitowoc Company	Machinery	767.31M
MTX	Minerals Technologies	Chemicals	2.52B
MTZ	MasTec	Construction & Engineering	6.60B
MU	Micron Technology	Semiconductors & Semiconductor Equipment	82.74B
MUDS	Mudrick Capital Acquisition II	Diversified Financial Services	390.17M
MUFG	Mitsubishi UFJ Financial	Banks	73.92B
MUR	Murphy Oil	Oil, Gas & Consumable Fuels	3.11B
MUSA	Murphy USA	Specialty Retail	3.82B
MUX	McEwen Mining	Metals & Mining	528.07M
MVBF	MVB Financial	Banks	464.90M
MVIS	MicroVision	Electronic Equipment, Instruments & C...	2.19B
MVST	Microvast	Electrical Equipment & Parts	3.50B
MWA	Mueller Water Products	Machinery	2.49B
MX	MagnaChip Semiconductor	Semiconductors & Semiconductor Equipment	803.61M
MXC	Mexco Energy	Oil, Gas & Consumable Fuels	18.75M
MXCT	MaxCyte	Diagnostics & Research	1.06B
MXL	MaxLinear	Semiconductors & Semiconductor Equipment	3.99B
MYE	Myers Industries	Containers & Packaging	759.65M
MYFW	First Western Financial	Banks	213.19M
MYGN	Myriad Genetics	Biotechnology	2.59B
MYMD	MyMD Pharmaceuticals	Biotechnology	289.26M
MYO	Myomo	Health Care Equipment & Supplies	68.13M
MYOV	Myovant Sciences	Biotechnology	2.26B
MYPS	PLAYSTUDIOS	Electronic Gaming & Multimedia	606.13M
MYRG	MYR Group	Construction & Engineering	1.80B
MYSZ	My Size	Software	20.76M
MYTE	MYT Netherlands	Luxury Goods	2.49B
NAAC	North Atlantic Acquisition	Shell Companies	463.94M
NABL	N-able	Information Technology Services	2.57B
NAII	Natural Alternatives International	Personal Products	110.34M
NAK	Northern Dynasty Minerals	Metals & Mining	267.49M
NAKD	Naked Brand Group	Textiles, Apparel & Luxury Goods	554.28M
NAOV	NanoVibronix	Health Care Equipment & Supplies	55.21M
NAPA	Duckhorn	Beverages-Wineries & Distilleries	2.55B
NARI	Inari Medical	Health Care Equipment & Supplies	3.97B
NAT	Nordic American Tankers	Oil, Gas & Consumable Fuels	380.32M
NATH	Nathan's Famous	Hotels, Restaurants & Leisure	258.54M
NATI	National Instruments	Electronic Equipment, Instruments & C...	5.62B
NATR	Nature's Sunshine Products	Personal Products	324.96M
NAUT	Nautilus Biotechnology	Biotechnology	886.09M
NAVB	Navidea Biopharmaceuticals	Biotechnology	49.17M
NAVI	Navient	Consumer Finance	3.87B
NBEV	NewAge	Beverages	218.86M
NBHC	National Bank Holdings	Banks	1.11B
NBIX	Neurocrine Biosciences	Biotechnology	9.16B
NBN	Northeast Bank	Banks	269.73M
NBR	Nabors Industries	Energy Equipment & Services	701.11M
NBRV	Nabriva Therapeutics	Pharmaceuticals	55.71M
NBSE	NeuBase Therapeutics	Biotechnology	120.72M
NBST	Newbury Street Acquisition	Shell Companies	158.74M
NBTB	NBT Bancorp	Banks	1.47B
NBTX	Nanobiotix	Biotechnology	426.23M
NBY	NovaBay Pharmaceuticals	Pharmaceuticals	28.32M
NC	NACCO Industries	Oil, Gas & Consumable Fuels	181.99M
NCBS	Nicolet Bankshares	Banks	877.60M
NCLH	Norwegian Cruise Line	Hotels, Restaurants & Leisure	9.10B
NCMI	National CineMedia	Media	199.40M
NCNA	NuCana	Biotechnology	128.84M
NCNO	nCino, Inc.	Software	7.14B
NCR	NCR Corporation	Technology Hardware, Storage & Periph...	5.19B
NCSM	NCS Multistage Holdings	Energy Equipment & Services	61.82M
NCTY	The9 Limited	Entertainment	254.30M
NDAC	Nightdragon Acquisition	Shell Companies	428.35M
NDAQ	Nasdaq	Capital Markets	32.78B
NDLS	Noodles & Company	Hotels, Restaurants & Leisure	556.28M
NDRA	ENDRA Life Sciences	Health Care Equipment & Supplies	77.85M
NDSN	Nordson	Machinery	14.01B
NE	Noble	Oil & Gas Drilling	1.68B
NECB	Northeast Community Bancorp	Thrifts & Mortgage Finance	174.42M
NEE	NextEra Energy	Electric Utilities	166.61B
NEGG	Newegg Commerce	Internet Retail	6.40B
NEM	Newmont Goldcorp	Metals & Mining	45.54B
NEN	New England Realty Associates	Real Estate Management & Development	175.33M
NEO	NeoGenomics	Life Sciences Tools & Services	6.46B
NEOG	Neogen Corporation	Health Care Equipment & Supplies	4.56B
NEON	Neonode	Electronic Equipment, Instruments & C...	75.92M
NEP	NextEra Energy Partners	Independent Power and Renewable Elect...	6.14B
NEPH	Nephros	Household Durables	88.07M
NEPT	Neptune Wellness Solutions	Personal Products	110.47M
NERV	Minerva Neurosciences	Biotechnology	71.35M
NES	Nuverra Environmental Solutions	Energy Equipment & Services	37.60M
NESR	National Energy Services Reunited	Energy Equipment & Services	1.04B
NET	Cloudflare	Software	40.79B
NETE	Net Element	Software	52.15M
NETI	Eneti	Marine	312.16M
NEU	NewMarket Corporation	Chemicals	3.66B
NEW	Puxin	Diversified Consumer Services	54.23M
NEWP	New Pacific Metals	Electronic Equipment, Instruments & C...	610.09M
NEWR	New Relic	Software	4.96B
NEWT	Newtek Business Services	Capital Markets	661.09M
NEX	NexTier Oilfield Solutions	Energy Equipment & Services	901.73M
NEXA	Nexa Resources	Metals & Mining	1.06B
NEXI	NexImmune	Biotechnology	326.30M
NEXT	NextDecade	Oil, Gas & Consumable Fuels	411.89M
NFBK	Northfield Bancorp	Thrifts & Mortgage Finance	832.19M
NFE	New Fortress Energy	Oil, Gas & Consumable Fuels	5.70B
NFG	National Fuel Gas	Gas Utilities	4.73B
NFH	New Frontier Health	Medical Care Facilities	1.48B
NFLX	Netflix	Entertainment	264.99B
NG	NovaGold Resources	Metals & Mining	2.31B
NGAB	Northern Genesis Acquisition II	Shell Companies	513.88M
NGC	Northern Genesis Acquisition III	Shell Companies	182.06M
NGCA	NextGen Acquisition II	Shell Companies	445.50M
NGD	New Gold	Metals & Mining	823.77M
NGG	National Grid	Multi-Utilities	46.84B
NGL	NGL Energy Partners	Oil, Gas & Consumable Fuels	228.09M
NGM	NGM Biopharmaceuticals	Pharmaceuticals	1.81B
NGMS	NeoGames	Hotels, Restaurants & Leisure	964.43M
NGS	Natural Gas Services Group	Energy Equipment & Services	127.44M
NGVC	Natural Grocers by Vitamin Cottage	Food & Staples Retailing	245.87M
NGVT	Ingevity	Chemicals	2.91B
NH	NantHealth	Health Care Technology	225.80M
NHC	National HealthCare	Health Care Providers & Services	1.14B
NHI	National Health Investors	Equity Real Estate Investment Trusts...	2.68B
NHTC	Natural Health Trends	Personal Products	80.76M
NI	NiSource	Multi-Utilities	9.66B
NICE	NICE Ltd.	Software	18.94B
NICK	Nicholas Financial	Consumer Finance	88.40M
NINE	Nine Energy Service	Energy Equipment & Services	60.19M
NIO	NIO Inc.	Automobiles	62.24B
NISN	Nisun International	Credit Services	192.19M
NIU	Niu Technologies	Automobiles	2.13B
NJR	New Jersey Resources	Gas Utilities	3.51B
NKE	Nike	Textiles, Apparel & Luxury Goods	258.58B
NKLA	Nikola	Auto Manufacturers	3.85B
NKSH	National Bankshares	Banks	225.27M
NKTR	Nektar Therapeutics	Pharmaceuticals	2.93B
NKTX	Nkarta	Biotechnology	896.38M
NL	NL Industries	Commercial Services & Supplies	299.65M
NLIT	Northern Lights Acquisition	Shell Companies	129.37M
NLOK	NortonLifeLock	Software	15.85B
NLS	Nautilus	Leisure Products	333.74M
NLSN	Nielsen	Professional Services	7.14B
NLSP	NLS Pharmaceutics	Biotechnology	33.31M
NLTX	Neoleukin Therapeutics	Biotechnology	322.01M
NLY	Annaly Capital Management	Mortgage Real Estate Investment Trus...	12.31B
NM	Navios Maritime Holdings	Marine	84.57M
NMFC	New Mountain Finance	Capital Markets	1.30B
NMG	Nouveau Monde Graphite	Other Industrial Metals & Mining	299.68M
NMIH	NMI Holdings	Thrifts & Mortgage Finance	1.86B
NMM	Navios Maritime Partners	Marine	830.00M
NMMC	North Mountain Merger	Shell Companies	160.85M
NMR	Nomura Holdings	Capital Markets	16.29B
NMRD	Nemaura Medical	Health Care Equipment & Supplies	147.54M
NMRK	Newmark Group	Real Estate Management & Development	2.55B
NMTC	NeuroOne Medical Technologies	Health Care Equipment & Supplies	54.96M
NMTR	9 Meters Biopharma	Pharmaceuticals	333.73M
NNA	Navios Maritime Acquisition	Oil, Gas & Consumable Fuels	64.58M
NNBR	NN, Inc.	Machinery	219.47M
NNDM	Nano Dimension	Technology Hardware, Storage & Periph...	1.57B
NNI	Nelnet	Consumer Finance	3.09B
NNN	National Retail Properties	Equity Real Estate Investment Trusts...	7.95B
NNOX	Nano-X Imaging	Health Care Equipment & Supplies	1.11B
NNVC	NanoViricides	Biotechnology	45.33M
NOA	North American Construction	Energy Equipment & Services	406.92M
NOAC	Natural Order Acquisition	Shell Companies	279.45M
NOAH	Noah Holdings	Capital Markets	2.49B
NOC	Northrop Grumman	Aerospace & Defense	56.69B
NODK	NI Holdings	Insurance	395.91M
NOG	Northern Oil & Gas	Oil, Gas & Consumable Fuels	1.06B
NOK	Nokia	Communications Equipment	33.41B
NOMD	Nomad Foods	Food Products	4.65B
NOTV	Inotiv	Life Sciences Tools & Services	501.31M
NOV	National Oilwell Varco	Energy Equipment & Services	5.11B
NOVA	Sunnova Energy	Independent Power and Renewable Elect...	3.94B
NOVN	Novan	Pharmaceuticals	168.38M
NOVT	Novanta	Electronic Equipment, Instruments & C...	5.38B
NOW	ServiceNow	Software	128.36B
NP	Neenah	Paper & Forest Products	808.56M
NPCE	NeuroPace	Medical Devices	497.10M
NPK	National Presto Industries	Aerospace & Defense	569.72M
NPO	EnPro Industries	Machinery	1.71B
NPTN	NeoPhotonics	Semiconductors & Semiconductor Equipment	491.06M
NR	Newpark Resources	Energy Equipment & Services	237.57M
NRAC	Noble Rock Acquisition	Shell Companies	291.61M
NRBO	NeuroBo Pharmaceuticals	Biotechnology	92.93M
NRC	National Research	Health Care Providers & Services	1.25B
NREF	NexPoint Real Estate Finance	REIT-Diversified	192.67M
NRG	NRG Energy	Independent Power and Renewable Elect...	10.64B
NRIM	Northrim BanCorp	Banks	248.46M
NRIX	Nurix Therapeutics	Biotechnology	1.59B
NRP	Natural Resource Partners	Oil, Gas & Consumable Fuels	261.97M
NRT	North European Oil Royalty Trust	Oil, Gas & Consumable Fuels	66.40M
NRXP	NRx Pharmaceuticals	Biotechnology	618.54M
NRZ	New Residential Investment	Mortgage Real Estate Investment Trus...	5.06B
NS	NuStar Energy	Oil, Gas & Consumable Fuels	1.74B
NSA	National Storage Affiliates Trust	Equity Real Estate Investment Trusts...	5.13B
NSC	Norfolk Southern	Road & Rail	61.04B
NSEC	National Security Group	Insurance	26.49M
NSIT	Insight Enterprises	Electronic Equipment, Instruments & C...	3.30B
NSP	Insperity	Professional Services	4.06B
NSPR	InspireMD	Health Care Equipment & Supplies	33.08M
NSR	Nomad Royalty Company	IT Services	498.99M
NSSC	Napco Security Technologies	Electronic Equipment, Instruments & C...	697.16M
NSTB	Northern Star Investment II	Shell Companies	496.00M
NSTC	Northern Star Investment III	Shell Companies	97.10M
NSTD	Northern Star Investment IV	Shell Companies	486.50M
NSTG	NanoString Technologies	Life Sciences Tools & Services	2.71B
NSYS	Nortech Systems	Electronic Equipment, Instruments & C...	34.25M
NTAP	NetApp	Technology Hardware, Storage & Periph...	20.65B
NTB	Bank of N.T. Butterfield & Son	Banks	1.62B
NTCO	Natura &Co Holding	Personal Products	13.37B
NTCT	NetScout Systems	Communications Equipment	1.99B
NTES	NetEase	Entertainment	59.57B
NTGR	Netgear	Communications Equipment	999.69M
NTIC	Northern Technologies International	Chemicals	155.60M
NTIP	Network-1 Technologies	Communications Equipment	72.27M
NTLA	Intellia Therapeutics	Biotechnology	11.81B
NTNX	Nutanix	Software	9.03B
NTP	Nam Tai Property	Real Estate Management & Development	1.14B
NTR	Nutrien	Chemicals	35.39B
NTRA	Natera	Biotechnology	11.27B
NTRS	Northern Trust	Capital Markets	23.45B
NTST	NetSTREIT	Equity Real Estate Investment Trusts...	1.01B
NTUS	Natus Medical	Health Care Equipment & Supplies	842.00M
NTWK	NetSol Technologies	Software	44.10M
NTZ	Natuzzi	Household Durables	171.14M
NUAN	Nuance Communications	Software	17.36B
NUE	Nucor	Metals & Mining	32.97B
NURO	NeuroMetrix	Health Care Equipment & Supplies	61.24M
NUS	Nu Skin Enterprises	Personal Products	2.37B
NUVA	NuVasive	Health Care Equipment & Supplies	2.98B
NUVB	Nuvation Bio	Biotechnology	2.03B
NUVL	Nuvalent	Biotechnology	1.77B
NUWE	Nuwellis	Medical Devices	27.04M
NUZE	NuZee, Inc.	Food Products	50.97M
NVAX	Novavax	Biotechnology	18.04B
NVCN	Neovasc	Health Care Equipment & Supplies	52.62M
NVCR	Novocure	Health Care Equipment & Supplies	13.66B
NVDA	NVIDIA	Semiconductors & Semiconductor Equipment	560.15B
NVEC	NVE Corporation	Semiconductors & Semiconductor Equipment	330.30M
NVEE	NV5 Global	Construction & Engineering	1.57B
NVFY	Nova Lifestyle	Household Durables	15.11M
NVGS	Navigator Holdings	Oil, Gas & Consumable Fuels	668.42M
NVIV	Invivo Therapeutics	Health Care Equipment & Supplies	23.44M
NVMI	Nova Measuring Instruments	Semiconductors & Semiconductor Equipment	2.85B
NVO	Novo Nordisk A/S	Pharmaceuticals	228.53B
NVOS	Novo Integrated Sciences	Health Care Providers & Services	47.68M
NVR	NVR, Inc.	Household Durables	18.30B
NVRO	Nevro Corp.	Health Care Equipment & Supplies	4.15B
NVS	Novartis	Pharmaceuticals	191.97B
NVSA	New Vista Acquisition	Shell Companies	334.65M
NVST	Envista Holdings	Health Care Equipment & Supplies	6.94B
NVT	nVent Electric	Electrical Equipment	5.55B
NVTA	Invitae Corporation	Biotechnology	6.77B
NVVE	Nuvve	Specialty Retail	230.41M
NWBI	Northwest Bancshares	Thrifts & Mortgage Finance	1.60B
NWE	NorthWestern	Multi-Utilities	3.23B
NWFL	Norwood Financial	Banks	208.24M
NWG	NatWest Group	Banks	32.91B
NWHM	New Home Company	Household Durables	163.26M
NWL	Newell Brands	Household Durables	10.59B
NWLI	National Western Life Group	Insurance	737.20M
NWN	Northwest Natural	Gas Utilities	1.51B
NWPX	Northwest Pipe Company	Construction & Engineering	247.55M
NWS	News Corp	Media	12.84B
NWSA	News Corp	Media	12.84B
NX	Quanex Building Products	Building Products	725.75M
NXE	NexGen Energy	Oil, Gas & Consumable Fuels	3.52B
NXGN	NextGen Healthcare	Health Care Technology	1.01B
NXPI	NXP Semiconductors	Semiconductors & Semiconductor Equipment	56.24B
NXRT	NexPoint Residential Trust	Equity Real Estate Investment Trusts...	1.60B
NXST	Nexstar Media Group	Media	5.95B
NXTC	NextCure	Biotechnology	199.63M
NXTD	Nxt-ID	Software	30.32M
NXTP	NextPlay Technologies	Information Technology Services	38.57M
NXU	Novus Capital II	Shell Companies	353.98M
NYC	New York City REIT	REIT-Office	115.88M
NYCB	New York Community Bancorp	Thrifts & Mortgage Finance	5.74B
NYMT	New York Mortgage Trust	Mortgage Real Estate Investment Trus...	1.61B
NYMX	Nymox Pharmaceutical	Biotechnology	171.65M
NYT	The New York Times	Media	8.45B
NYXH	Nyxoah	Medical Instruments & Supplies	746.03M
O	Realty Income	Equity Real Estate Investment Trusts...	26.45B
OACB	Oaktree Acquisition II	Shell Companies	306.25M
OAS	Oasis Petroleum	Oil, Gas & Consumable Fuels	1.84B
OB	Outbrain	Internet Content & Information	912.74M
OBAS	Optibase	Real Estate Management & Development	61.84M
OBCI	Ocean Bio-Chem	Household Products	89.74M
OBLG	Oblong	Software-Application	79.60M
OBNK	Origin Bancorp	Banks	942.44M
OBSV	ObsEva	Biotechnology	235.41M
OBT	Orange County Bancorp	Banks-Regional	200.11M
OC	Owens Corning	Building Products	9.66B
OCA	Omnichannel Acquisition	Shell Companies	254.25M
OCAX	OCA Acquisition	Shell Companies	183.70M
OCC	Optical Cable Corporation	Communications Equipment	28.22M
OCCI	OFS Credit Company	Asset Management	109.47M
OCDX	Ortho Clinical Diagnostics	Health Care Equipment & Supplies	4.28B
OCFC	OceanFirst Financial	Thrifts & Mortgage Finance	1.22B
OCFT	OneConnect Financial Technology	Software	1.72B
OCG	Oriental Culture Holding	Internet Retail	90.98M
OCGN	Ocugen	Biotechnology	1.42B
OCN	Ocwen Financial	Thrifts & Mortgage Finance	261.70M
OCSL	Oaktree Specialty Lending	Capital Markets	1.32B
OCUL	Ocular Therapeutix	Pharmaceuticals	832.46M
OCUP	Ocuphire Pharma	Biotechnology	83.47M
OCX	OncoCyte	Biotechnology	359.92M
ODC	Oil-Dri Corporation of America	Household Products	255.47M
ODFL	Old Dominion Freight Line	Road & Rail	33.75B
ODP	Office Depot	Specialty Retail	2.28B
ODT	Odonate Therapeutics	Pharmaceuticals	123.97M
OEC	Orion Engineered Carbons	Chemicals	1.09B
OEG	Orbital Energy Group	Utilities-Diversified	207.54M
OEPW	One Equity Partners Open Water I	Shell Companies	416.16M
OESX	Orion Energy Systems	Electrical Equipment	128.03M
OFC	Corporate Office Properties Trust	Equity Real Estate Investment Trusts...	3.15B
OFED	Oconee Federal Financial	Thrifts & Mortgage Finance	132.79M
OFG	OFG Bancorp	Banks	1.18B
OFIX	Orthofix Medical	Health Care Equipment & Supplies	799.42M
OFLX	Omega Flex	Machinery	1.47B
OFS	OFS Capital	Capital Markets	140.73M
OG	Onion Global	Software-Application	606.00M
OGE	OGE Energy	Electric Utilities	7.02B
OGEN	Oragenics	Biotechnology	79.27M
OGI	OrganiGram Holdings	Pharmaceuticals	735.96M
OGN	Organon	Drug Manufacturers-General	8.59B
OGS	ONE Gas	Gas Utilities	3.66B
OHI	Omega Healthcare Investors	Equity Real Estate Investment Trusts...	7.91B
OHPA	Orion Acquisition	Shell Companies	499.39M
OI	O-I Glass	Containers & Packaging	2.24B
OII	Oceaneering International	Energy Equipment & Services	1.24B
OIIM	O2Micro International	Semiconductors & Semiconductor Equipment	207.64M
OIS	Oil States International	Energy Equipment & Services	343.08M
OKE	ONEOK	Oil, Gas & Consumable Fuels	23.39B
OKTA	Okta, Inc	IT Services	39.28B
OLB	OLB Group	Software-Application	38.05M
OLED	Universal Display	Semiconductors & Semiconductor Equipment	9.44B
OLK	Olink Holding	Diagnostics & Research	3.63B
OLLI	Ollie's Bargain Outlet	Multiline Retail	4.61B
OLMA	Olema Pharmaceuticals	Biotechnology	1.16B
OLN	Olin	Chemicals	7.72B
OLO	Olo, Inc.	Software-Application	4.87B
OLP	One Liberty Properties	Equity Real Estate Investment Trusts...	636.55M
